Program,Matched_Category,Tier,Semester,Headcount
"Cyber Security Engineering, B.S.",Cyber Security Engineering,Primary (AI-adjacent),Fall 2024,170
"Cyber Security Engineering, B.S.",Cyber Security Engineering,Primary (AI-adjacent),Fall 2024,170
"Electrical Engineering, B.S.",Electrical Engineering,Primary (AI-adjacent),Fall 2024,475
"Electrical Engineering, B.S.",Electrical Engineering,Primary (AI-adjacent),Fall 2024,475
"Software Engineering, B.S.",Software Engineering,Primary (AI-adjacent),Fall 2024,640
"Software Engineering, B.S.",Software Engineering,Primary (AI-adjacent),Fall 2024,640
"Civil Engineering, B.S.",Civil Engineering,Control Group,Fall 2025,592
"Civil Engineering, B.S.",Civil Engineering,Control Group,Fall 2025,592
"Mechanical Engineering, B.S.",Mechanical Engineering,Control Group,Fall 2025,2123
"Mechanical Engineering, B.S.",Mechanical Engineering,Control Group,Fall 2025,2123
"Computer Engineering, B.S.",Computer Engineering,Primary (AI-adjacent),Fall 2025,473
"Computer Engineering, B.S.",Computer Engineering,Primary (AI-adjacent),Fall 2025,473
"Computer Science, B.A.",Computer Science,Primary (AI-adjacent),Fall 2025,34
"Computer Science, B.S.",Computer Science,Primary (AI-adjacent),Fall 2025,712
"Computer Science, B.A.",Computer Science,Primary (AI-adjacent),Fall 2025,34
"Computer Science, B.S.",Computer Science,Primary (AI-adjacent),Fall 2025,712
"Cyber Security Engineering, B.S.",Cyber Security Engineering,Primary (AI-adjacent),Fall 2025,165
"Cyber Security Engineering, B.S.",Cyber Security Engineering,Primary (AI-adjacent),Fall 2025,165
"Electrical Engineering, B.S.",Electrical Engineering,Primary (AI-adjacent),Fall 2025,523
"Electrical Engineering, B.S.",Electrical Engineering,Primary (AI-adjacent),Fall 2025,523
"Software Engineering, B.S.",Software Engineering,Primary (AI-adjacent),Fall 2025,566
"Software Engineering, B.S.",Software Engineering,Primary (AI-adjacent),Fall 2025,566
