Category,Semester,Headcount
Computer Science,Fall 2019,474573
Engineering,Fall 2019,595142
Computer Science,Fall 2020,492669
Engineering,Fall 2020,600396
Computer Science,Fall 2021,513475
Engineering,Fall 2021,582733
Computer Science,Fall 2022,570291
Engineering,Fall 2022,573841
Computer Science,Fall 2023,621711
Engineering,Fall 2023,589277
Computer Science,Fall 2024,655380
Engineering,Fall 2024,619056
Computer Science,Fall 2025,602109
Engineering,Fall 2025,664997
